,x,y,theta,speed
9858,355.55800000000005,1568.12,0.0,30
9859,355.767,1567.73,0.0,30
9860,356.184,1566.95,0.0,30
9861,356.394,1566.56,0.0,30
9862,356.81199999999995,1565.78,0.0,30
9863,357.02,1565.39,0.0,30
9864,357.22900000000004,1565.01,0.0,30
9865,357.648,1564.23,0.0,30
9866,357.85699999999997,1563.84,0.0,30
9867,358.065,1563.45,0.0,30
9868,358.274,1563.06,0.0,30
9869,358.69199999999995,1562.28,0.0,30
9870,358.902,1561.89,0.0,30
9871,359.11,1561.5,0.0,30
9872,359.528,1560.72,0.0,30
9873,359.736,1560.33,0.0,30
9874,359.94599999999997,1559.94,0.0,30
9875,360.154,1559.56,0.0,30
9876,360.57199999999995,1558.78,0.0,30
9877,360.78,1558.39,0.0,30
9878,360.99,1558.0,0.0,30
9879,361.408,1557.22,0.0,30
9880,361.61699999999996,1556.83,0.0,30
9881,361.825,1556.44,0.0,30
9882,362.24300000000005,1555.66,0.0,30
9883,362.452,1555.27,0.0,30
9884,362.871,1554.49,0.0,30
9885,363.079,1554.1,0.0,30
9886,363.288,1553.71,0.0,30
9887,363.705,1552.93,0.0,30
9888,363.915,1552.54,0.0,30
9889,364.12300000000005,1552.15,0.0,30
9890,364.332,1551.76,0.0,30
9891,364.75,1550.98,0.0,30
9892,364.96,1550.59,0.0,30
9893,365.168,1550.2,0.0,30
9894,365.584,1549.42,0.0,30
9895,365.792,1549.03,0.0,30
9896,366.001,1548.64,0.0,30
9897,366.417,1547.86,0.0,30
9898,366.624,1547.47,0.0,30
9899,366.832,1547.08,0.0,30
9900,367.041,1546.69,0.0,50
9901,367.457,1545.91,0.0,50
9902,367.665,1545.52,0.0,50
9903,367.87300000000005,1545.13,0.0,50
9904,368.08,1544.74,0.0,50
9905,368.49699999999996,1543.96,0.0,50
9906,368.707,1543.57,0.0,50
9907,368.915,1543.18,0.0,50
9908,369.334,1542.41,0.0,50
9909,369.543,1542.02,0.0,50
9910,369.75300000000004,1541.63,0.0,50
9911,369.962,1541.24,0.0,50
9912,370.38300000000004,1540.46,0.0,50
9913,370.80400000000003,1539.68,0.0,50
9914,371.014,1539.3,0.0,50
9915,371.224,1538.91,0.0,50
9916,371.436,1538.52,0.0,50
9917,371.858,1537.74,0.0,50
9918,372.07,1537.36,0.0,50
9919,372.281,1536.97,0.0,50
9920,372.705,1536.19,0.0,50
9921,372.917,1535.81,0.0,50
9922,373.13,1535.42,0.0,50
9923,373.343,1535.03,0.0,50
9924,373.77,1534.26,0.0,50
9925,373.983,1533.87,0.0,50
9926,374.19699999999995,1533.49,0.0,50
9927,374.626,1532.71,0.0,50
9928,374.841,1532.33,0.0,50
9929,375.055,1531.94,0.0,50
9930,375.27,1531.55,0.0,50
9931,375.70099999999996,1530.78,0.0,50
9932,375.917,1530.4,0.0,50
9933,376.13199999999995,1530.01,0.0,50
9934,376.564,1529.24,0.0,50
9935,376.78,1528.86,0.0,50
9936,376.99699999999996,1528.47,0.0,50
9937,377.215,1528.09,0.0,50
9938,377.649,1527.32,0.0,50
9939,377.86699999999996,1526.93,0.0,50
9940,378.085,1526.55,0.0,50
9941,378.52099999999996,1525.78,0.0,50
9942,378.73900000000003,1525.39,0.0,50
9943,379.17699999999996,1524.63,0.0,50
9944,379.39599999999996,1524.24,0.0,50
9945,379.616,1523.86,0.0,50
9946,380.055,1523.09,0.0,50
9947,380.274,1522.71,0.0,50
9948,380.49300000000005,1522.33,0.0,50
9949,380.93300000000005,1521.56,0.0,50
9950,381.154,1521.18,0.0,50
9951,381.375,1520.79,0.0,50
9952,381.81699999999995,1520.03,0.0,50
9953,382.039,1519.64,0.0,50
9954,382.26,1519.26,0.0,50
9955,382.702,1518.5,0.0,50
9956,382.92400000000004,1518.12,0.0,50
9957,383.147,1517.73,0.0,50
9958,383.36800000000005,1517.35,0.0,50
9959,383.814,1516.59,0.0,50
9960,384.036,1516.21,0.0,50
9961,384.259,1515.82,0.0,50
9962,384.483,1515.44,0.0,50
9963,384.92900000000003,1514.68,0.0,50
9964,385.152,1514.3,0.0,50
9965,385.375,1513.92,0.0,50
9966,385.82199999999995,1513.15,0.0,50
9967,386.046,1512.77,0.0,50
9968,386.269,1512.39,0.0,50
9969,386.718,1511.63,0.0,50
9970,386.941,1511.25,0.0,50
9971,387.166,1510.86,0.0,50
9972,387.389,1510.48,0.0,50
